text,sentiment
nilipenda majengo 3 ama 4 tu yaliyotumiwa labda maeneo kadhaa duni hummh,negative
natamani ningeweza kuingiza maadili hasi admins,negative
seti ni mbaya sana haingeonekana kuwa nje ya mahali kwenye sehemu ya thunderbirds,negative
matumizi ya mwendopolepole hujirudia yenyewe kwenye sinema lakini imeungwa mkono na kaimu mbaya na mbaya ni neno fadhili hapa hakuna mwendelezo picha ambazo zimetupwa bila sababu yoyote magari ambayo yalionekana kama yalitengenezwa kutoka kwa sanduku la corn flakes na mtindo wa kuelekeza uliopakana na ujinga,negative
ah ndio na hadithi ilikuwa ya kusikitisha pia,negative
ninachukia kuandika hakiki mbaya juu ya filamu haswa zile ambazo napenda sana nyota lakini filamu hii ni mbaya siamini kwa sekunde moja kuwa mtu yeyote angeweza kujivunia,negative
mimi si mtengenezaji wa filamu wala sio mkurugenzi lakini ningekificha kichwa changu kwenye mchanga ikiwa ningetumia kiasi chochote cha pesa na wakati kwenye sinema hii,negative
kwa kifupi hii ilikuwa upotezaji wa muda na nguvu na singependekeza mtu yeyote kuona filamu hii,negative
ilikuja bure na kicheza dvd nilichonunua lakini bado nilibadilisha kitu hicho kwa sababu nilikuwa na aibu kwa howell,negative
110 na kwa sababu tu hakuna mpangilio wa 010,negative
lo filamu mbaya namna gani,negative
sio ya kutisha angalau na haieleweka wazi,negative
haifai hata kwa thamani ya kambi,negative
sikutarajia vifaa vya oscar lakini hii,negative
filamu hii na mimi hutumia neno hilo kwa upole ni tusi kwa umma unaokwenda sinema,negative
ikiwa tu mtu anayehusika nayo angelijua jinsi ya kujumuisha simulizi,negative
hii inapata 1 kati ya 10 kwa sababu tu hakuna kitu cha chini,negative
hii ni moja ambayo sikuwa nayo lakini niliitazama hivi majuzi kwenye channel ya sinema ya fox na nilisikitishwa sana,negative
victor mclaglen alikuwa mbaya hata na brian donlevy alikuwa haeleweki,negative
kitu kibaya zaidi kuliko uigizaji wa taylor ilikuwa kuimba kwa stanwyck,negative
hata squibs anaonekana mbaya,negative
mazungumzo yanaundwa na vitu ambavyo havielewi vizuri,negative
kwa kweli kaimu ni blah,negative
na mwishowe baada ya yote hayo tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio jerry falwell,negative
ni aina tu ya pap ambayo inapetiwa alasiri ili kuwaadhibu wasio na kazi kwa kukosa kazi,negative
karibu kama dakika kumi kwenye filamu hii nilianza kuwa na mawazo ya pili,negative
karibu nusu ya njia ya filamu hii nilianza kuichukia,negative
kufikia wakati filamu ilipoisha sikuichukia tu niliidharau pia,negative
ukadiriaji 010 daraja z kumbuka maonyesho ni mbaya kwamba hata mama wa mwigizaji akatoa binti yake kati ya show,negative
kuangalia mashine ya kuosha ikizunguka haitakuumiza macho yako kama vile onyesho hili,negative
neno la mwisho show hii ni mateso kwa kweli,negative
kila kitu juu yake ni mbaya tu,negative
hii labda ni onyesho la kukasirisha sana ambalo nimewahi kuona katika maisha yangu yote,negative
kile filamu hii inakosa ni maandishi ya kushawishi,negative
karne ya 20 ya foxs road house 1948 sio tu hadithi ya kipumbavu lakini ni fumbo lisilofahamika la sinema,negative
imejaa wahusika wa kadi isiyo na kifahari iliyoandikwa wazi na edward chodorov ambaye pia alitengeneza na kwa kushangaza anaelekezwa na jean negulesco ambaye mtu angetegemea mpango mkubwa zaidi,negative
kuanzia hapa mhusika wa widmark anageuka mchesi bila kukusudia,negative
kuna shida nyingi sijui nianzie wapi,negative
lakini sinema hiyo inafanya makosa mengi sana,negative
chochote kilichochochea maandishi haya ni zaidi yangu,negative
kupoteza kwake marumaru mapema sana katika kesi hiyo haifurahishi,negative
kwanza kabisa kuna mitindo ya kichekesho ya kutosha na utani wa rangi ili kumkasirisha kila mtu,negative
tukiacha ubaguzi wa rangi wacha tuangalie upungufu mkubwa kwenye filamu wanaharibu mhusika wa latifah,negative
singependa kuona hii sinema tena hata bure,negative
mbaya sana mmmh ni mbaya tu,negative
hii inaweza kuwa ndiyo filamu mbaya tu ambayo amewahi kutengeneza,negative
sidhani kama kuna sifa zozote za ukombozi katika kumbukumbu hii,negative
nimesikitishwa sana kuwa filamu hii itapokea tuzo nyingi na sifa nyingi haswa ikiwa kuna kazi zinazofaa zaidi za filamu huko nje,negative
sinema hii ni mfano thabiti wa njama mbaya na wazo mbaya sana kila mahali,negative
ni aibu kuona watendaji wazuri kama thomerson na james wanaishi kwa fujo kama hii,negative
nakala ni fujo kubwa linalopotoka,negative
wacha tuanze na shida zote kaimu haswa kutoka kwa profesa mkuu alikuwa mbaya sana,negative
filamu zote mbili ni mbaya lakini kwa sifa ya toleo la 1986 ilionekana,negative
nilidhani ilikuwa mbaya,negative
mkurugenzi paul matthews ambaye pia aliandika kuelekeza sinema dhaifu ya monster 1995 grim wazi hajui jinsi ya kuongeza kasi filamu zake,negative
sinema inaudhi,negative
filamu inaonekana ya bei rahisi na isiyo na maana,negative
mojawapo ya mambo yanayokatisha tamaa zaidi ni ukosefu wa balaa kubwa,negative
athari za kuona zilikuwa mbaya,negative
mlipuko wa mizinga ya gesi mwishoni ulikuwa mbaya tu,negative
mkutano huu haujawahi kufanya kazi vizuri zamani na hakika haifanyi kazi hapa,negative
haipendekezwi,negative
haipendekezi,negative
ninaelewa kuwa inapaswa kuwa vichekesho cha bei nafuu cha popcorn lakini hiyo haimaanishi kuwa inabidi itukane akili zetu na kuandika maandishi mabaya sana kiasi kwamba inapakana na kukera,negative
kipaji kikubwa cha lewis black kinatoweka hapa pia kwa vile yeye ni mtangulizi wake wakati yeye hajazuiliwa ambayo rating ya pg13 hakika haitakubali,negative
bajeti ilikuwa dhahiri sana,negative
walakini hapa hakukuwa na kaimu bora kitendo au kazi ya eneo kusawazisha mambo,negative
filamu ilikuwa ndogo sana,negative
haikufaulu kufikisha jumla ya mandhari ambayo yalikuwa sehemu kubwa ya asili,negative
kwa jumla ilikosa tu mawazo,negative
sipendekezi,negative
je inawezekana kwa sinema kuwa mbaya zaidi kuliko hii,negative
hata wakati wanawake watajidhihirisha hakuna ishara ya uboreshaji mambo yanayotarajiwa sana kutokea na wakati filamu imekwisha unaweza kuwa umelala sana,negative
jihadharini hii sio sinema ya ibada ya kidini hii ni kipindi cha takataka,negative
siwezi kuamini kuwa kuna njia ijayo kwa hii,negative
ambayo ni kwa nini ninaipa hakiki mbaya,negative
mistari yake inaonekana kuwa imeandikwa na mtu wa miaka kumi na tano ingawa wanajaribu sana kusikika kama vile mtu wa miaka kumi na tano angeongea,negative
hakuna udhuru kwa kitu hiki ambacho hakijafanywa vizuri,negative
niliona sinema hii na nilidhani hii ni sinema ya kijinga,negative
ni nini kijinga zaidi ni kwamba ni nani aliyefikiria wazo kwamba kunapaswa kuwa na volkano huko los angeles,negative
ili kuwa mkweli na wewe hii ni ya upumbavu isiyo ya kushangaza na ni ujinga sana,negative
kwa kumalizia sitajisumbua na sinema hii kwa sababu volcano huko los angeles sio kitu lakini ni isiyo na maana,negative
mstari wa hadithi ni mbaya tu,negative
ni chungu tu,negative
na lafudhi ni mbaya sana,negative
kuna unafiki wa kutosha katika filamu hii kunifanya nitapike,negative
usipoteze muda wako kutazama filamu hii ya takataka ambayo haijafanywa utafiti,negative
ukadiriaji wangu 3 tu kati ya 10,negative
bila kujali filamu inashindwa kwa viwango vingi,negative
ninajua kuwa jim oconnor alikuwa na nguvu sana na kwamba hakuna mtu anayeweza kuwa kama yeye lakini george hakuwa na riba,negative
epuka kwa gharama zote,negative
siipendekezi,negative
sinema hii ni mbaya sana kwa akili haingeweza hata kutengenezwa,negative
isipokuwa tu uko kwa kukusanya filamu zote za kazi za austen unaweza kuruka hii,negative
si nzuri,negative
si ya kufurahisha,negative
sio nzuri,negative
hata kuruhusu viwango duni vya uzalishaji kwa wakati huo 1971 na muundo aina fulani ya mfululizo wa mini hii ni mbaya,negative
najuta,negative
utajuta,negative
utendaji mbaya sana hucheza angela bennett mtaalam wa kompyuta ambaye yuko nyumbani wakati wote,negative
ni filamu isiyohusu kitu chochote kisingizio tu cha kuonyesha matukio ya kejeli,negative
yeye ni mbaya sana,negative
lakini yeye bado ni mwigizaji mbaya akirudia sura yake ya uso wa robotic katika kila moja ya picha zake,negative
matokeo ni aibu,negative
mimi ni shabiki mkubwa wa michezo ya rpg lakini sinema hii ni aibu kwa shabiki yeyote wa rpg anayejiheshimu,negative
hadithi hizo zilikuwa zisizoaminika kama wahusika,negative
mistari kupunguzwa sauti kila kitu kibaya,negative
unaweza kupata sinema bora kwenye youtube,negative
mstari wa juu usipoteze wakati wako na pesa kwenye hii ni mbaya kama inavyotokea,negative
sana ujinga katika kila nyanja kuwa inakuwa fujo nyepesi isiyo ya kupendeza hii ni moja ya sinema zinazosahaulika sana ambazo nimeona,negative
epuka epuka epuka,negative
itakuendesha kupiga wazimu,negative
hakuna kitu kipya hapo,negative
sinema haina hatua yoyote ndani yake na ucheshi ni mdogo sana,negative
maonyesho haya hayafurahishi,negative
nimechoka sana na nguzo ambazo ni uvivu tu kuandika na hapa wanakuja kwa nene na haraka,negative
kwanini filamu hii ilitengenezwa,negative
matokeo yake ni filamu ambayo haionekani kuwa sawa,negative
hakuna hata mmoja wao anayefurahisha,negative
the foreigner haifai sekunde moja ya wakati wako,negative
njama hiyo ni ya kijinga ambayo haifurahishi kwa njia yeyote,negative
jinsi kipande hiki cha takataka kilivyowahi kutolewa ni imenishinda uigizaji hadithi wahusika athari zinazodaiwa kuwa maalum nk zote ni mbaya,negative
epuka kwa gharama zote,negative
star trek v frontier ya mwisho ndio mbaya zaidi kwenye safu,negative
mahali pema tu kwa filamu hii iko kwenye takatakataka,negative
mbaya zaidi ya mfululizo,negative
nilikatishwa tamaa na kujiuliza jinsi inaweza kuwa katika orodha fupi ya oscar,negative
usipoteze muda wako,negative
ni kama sinema mbaya ya saa mbili,negative
bado ninajaribu kupata jinsi ilikuwa mbaya,negative
hii ilikuwa moja ya filamu mbaya kabisa ambayo nimewahi kuona,negative
kwa kweli hajui jinsi ya kutengeneza sinema ya vitendo madhubuti kutoka kwa mwandishi wa jeshi la anga ambaye alilazimika kuandika hati hiyo kwa pesa nyingi tu,negative
mwisho wa siku ni moja ya sinema mbaya zaidi za bajeti kubwa ambazo nimewahi kuona,negative
sasa fikiria kwamba kila moja ya maamuzi hayo yalifanywa vibaya,negative
shida ni kwamba uandishi na kuelekeza hufanya iwezekani kuanzisha vitu,negative
haina maana na inapoteza muda,negative
kwa kifupi usijiumbue na sinema hii,negative
pia hadithi na kaimu zilikuwa dhaifu,negative
karibu saa 4 jioni niliinunua saa 8 jioni nilianza kuitazama karibu saa 815 jioni nikasambaza haraka filamu iliyobaki ili kuona ikiwa kuna kitu chochote kilichobaki cha kutazamwa kwa mwanadamu aliye na ubongo lakini hakukuwa,negative
nakala ni ya kijinga,negative
kila kitu kapteni howdy anasema kijinga wazi tu,negative
filamu hii inajaribu kuwa ya kusisimua na ya kushangaza ya kutisha na inashindwa vibaya,negative
hii labda ni moja ya sinema zisizo na ufanisi,negative
kwa kiwango chochote filamu hii haipendezina sio ya kuchekesha,negative
epuka kwa gharama yoyote na yote,negative
epuka filamu hii kwa gharama zote,negative
sasa hii ni sinema ambayo sipendi kabisa,negative
sio ya kufurahisha,negative
vinginevyo usipoteze wakati wako kwenye hii sinema,negative
hii inashindwa kuunda tuhuma yoyote ya kweli,negative
kwa habari ya muuaji usitegemee kitu chochote cha asili au hata cha kutisha kwa mbali,negative
samahani lakini kwa kweli siwezi kuipendekeza kwa mtu yeyote,negative
mstari wa njama ya pili haueleweki,negative
niliichukia,negative
haipendezi,negative
hii ni moja ya sinema mbaya zaidi ya sandra bullock tangu speed 2 lakini sio mbaya kabisa,negative
sielewi jinsi takataka hii ilifika kwenye rafu za duka la sinema hata sio sinema halisi,negative
nina shaka sana kuwa mtu yeyote angependa takataka hii,negative
hii sio ya kutengeneza sinema,negative
kaimu ni kama kutazama vijito vya mbao vinazunguka na kusoma kutoka kwa kitabu ndivyo ilivyo mbaya,negative
nakubaliana na jessica sinema hii si nzuri sana,negative
nimeona michezo ya sabuni yenye akili zaidi kuliko sinema hii,negative
wahusika wabaya hadithi mbaya na kaimu mbaya,negative
kweli mbaya,negative
si rahisi kutizama,negative
sinema ilionekana polepole kidogo mwanzoni,negative
ni mbaya sana kwamba kila mtu mwingine aliyehusika hakushiriki kiwango cha kujitolea cha crowe kwa ubora kwa maana ikiwa wangefanya tungekuwa na filamu bora zaidi mikononi mwetu kuliko fujo hili ndogo,negative
ni dharau kwa akili ya mtu na upotezaji mkubwa wa pesa,negative
ila mbaya,negative
kwa neno moja ni aibu,negative
kwa bahati mbaya fadhila yoyote katika kazi ya utengenezaji wa filamu hii ilipotea kwenye hati ya kusikitisha,negative
bila kusema nilipoteza pesa zangu,negative
nilipoteza pesa na wakati,negative
matangazo ni ya kupotosha zaidi,negative
nilienda kwenye wavuti ya motorola na kufuata mwelekeo wote lakini sikuweza kuipata tena,negative
watu hawakuweza kunisikia nikiongea na ilibidi nikatoe earphones na kuongea kwa simu,negative
sikufikiria kwamba maagizo yaliyotolewa yalinisaidia,negative
nilimnunua mama yangu na alikuwa na shida na betri,negative
haiweki shati,negative
nina zaidi ya miaka miwili katika mkataba huu na ninachukia simu hii,negative
utendaji duni wa wakati wa majadiliano,negative
bidhaa isiyo na maana,negative
nasikia tu takataka za sauti,negative
sikuvutiwa na bidhaa hii,negative
nani katika akili zao sahihi ataweza kununua betri hii,negative
sijafurahishwa hata kidogo,negative
sijafurahi nayo hata kidogo,negative
vifungo ni mbaya,negative
kwa kweli unaweza kusahau msaada wa teknolojia ya microsoft,negative
nunua simu tofauti lakini sio hii,negative
lazima ushike simu kwa pembe fulani ili mtu mwingine asikie wazi,negative
mic haifanyi kazi,negative
hata katika safu yangu ya bmw 3 ambayo ni kimya kabisa nina shida kusikia kile mtu mwingine anasema,negative
usinunue kwa d807 kutangazwa vibaya kwa d807,negative
nilinunua hii na baada ya siku 2 haikufanya kazi tena,negative
sio biashara nzuri,negative
hakufanya kazi nzuri,negative
vifaa hivyo havikunipendeza,negative
sikupendezwa na vifaa hivyo,negative
kwa bidhaa inayogharimu sana kama hii ninatarajia ifanye kazi vizuri zaidi na kwa urahisi zaidi kuliko kitu hiki,negative
bidhaa hii ilifanya kazi nzuri lakini ikavunja baada ya miezi 6 ya matumizi,negative
usipoteze pesa yako,negative
nilipokea motorola yangu mpya inayodaiwa kuwa 375 na inaonekana hakukuwa na mechi kati ya simu na chaja,negative
huo ni dosari kubwa ya kubuni,negative
kamera ingawa imekadiriwa kwa megapixels zenye kuvutia 13 hutoa picha ambazo zinaanguka chini ya matarajio ya azimio kubwa kama hilo,negative
haifanyi kazi,negative
nilipata simu hii karibu na mwisho wa mei na sina furaha nayo,negative
ubora mbaya,negative
kimsingi huduma ilikuwa mbaya sana,negative
mnunuzi kuwa mwangalifu sana,negative
sikufurahi na kitu hiki,negative
simu inachukua muda mwingi kuchaji kama masaa 2 hadi 5,negative
mapokezi yake ni duni sana,negative
vitu vilivyosemwa kama vilivyojumuishwa kutoka kwa maelezo havijajumlishwa,negative
nilikuwa natarajia zaidi,negative
ubora wa sauti ni duni duni sana,negative
siwezi kamwe tena,negative
jumia ghana ndio mbaya kabisa,negative
nililipa bidhaa kisha wakanipa bandia na isiyo ya kazi,negative
jumia sio mwaminifu hata kidogo,negative
jumia sio wa kuaminika hata kidogo,negative
nadhani huu ni mpango wangu wa mwisho na hawa watu wasio wakubwa,negative
sikushauri mtu yeyote kufuata jumia nchini ghana au mahali pengine,negative
tafadhali usinunue kutoka kwao kwangu ni udanganyifu,negative
mlango huu haufunguki vizuri,negative
sifaulu,negative
hufaulu,negative
hafaulu,negative
hatufaulu,negative
hamfaulu,negative
hawafaulu,negative
haufaulu,negative
haifaulu,negative
hakifaulu,negative
havifaulu,negative
siji,negative
huji,negative
haji,negative
hatuji,negative
hamji,negative
hawaji,negative
hauji,negative
haiji,negative
hakiji,negative
haviji,negative
watoto hawali chakula chao,negative
mganga haji jumanne,negative
viazi vile havionekani,negative
kitabu hiki ni kibaya sana,negative
sidhani,negative
haendi,negative
kitabu hakijasomwa,negative
mlango haufungiki,negative
kisu hakikati vyema,negative
hawanywi,negative
nyinyi hamchezi kwani,negative
kwani hauoni,negative
mishahara haiongezwi,negative
yeye si mgojwa,negative
hafuatili,negative
hawatizami,negative
mishumari haifai,negative
mkate huu hautoshi,negative
mimi siwezi kuja leo,negative
nyenzo hii haikauki haraka,negative
wewe hausiki,negative
halali chini,negative
mimi sili viazi,negative
yeye hali viazi,negative
sinunui mkate mjini kwa sababu haifai,negative
moto huu hauwaki vizuri,negative
jaribu tena,negative
hapo kwa kupanda ndege pananiumankijua hata sijawai enda jkia,negative
aki jamanihawajui kigerman,negative
maudhui hayajashughulikiwa kwa kina,negative
hii haifai hata kidogo,negative
serikali iliwatendea raia wake unyama,negative
hatukupenda walivyotukaribisha,negative
sikuipenda hata kidogo,negative
nimechoshwa na kukaa maeneo haya,negative
waaah ni kubaya,negative
sheria kali zilizowekwa katika saa za kuabiri treni na ushindani kutoka kwa kampuni za mabasi na ndege zinazolipisha bei nafuu zimewafanya abiria wengi kuacha kutumia sgr,negative
hii ina maana kuwa nchi ilipata zaidi ya sh10 bilioni mwaka jana kutoka kwa biashara hiyo ya kusafirisha mizigo ambayo bado iko chini sana kulingana na gharama ya mwaka mzima ya sh18 bilioni ya kufanya ukarabati,negative
am sure uko na wengi kumliko ni ile tu huna platform ya kutuonyesha ujinga kama ile simba ametuonyesha hii east africa,negative
iyo kazi si rahisi,negative
mafunzo yalikuwa makali sana,negative
kutoka alshaabab si kazi rahisi,negative
kufanikiwa na kuwa na ushawishi katika maisha ya kawaida ya binadamu si jambo rahisi,negative
yeye ni mrembo sana,positive
tunaipenda hii ngoma sana,positive
yani nahisi mapenzi hadi kwa miguu naipenda ngoma 2019,positive
waah hii ngoma ilikua imeshika nikiwa darasa la 6 yanirudisha nyuma kweligenge hadi mwisho wangu,positive
safi mgenge2018 na hii ngoma bado ni moto,positive
kasha nzuri thamani bora,positive
nzuri kwa taya,positive
nilipenda alivyokuwa akicheka,positive
